algorithm,percentile of pool members,selection probability
Legacy,0.0,0.0
Legacy,0.12121212121212122,0.0
Legacy,0.24242424242424243,0.0
Legacy,0.36363636363636365,0.0
Legacy,0.48484848484848486,0.0
Legacy,0.6060606060606061,0.0
Legacy,0.7272727272727273,0.0
Legacy,0.8484848484848486,0.0
Legacy,0.9696969696969697,0.0
Legacy,1.090909090909091,0.0
Legacy,1.2121212121212122,0.0
Legacy,1.3333333333333335,0.0
Legacy,1.4545454545454546,0.0
Legacy,1.575757575757576,0.0
Legacy,1.6969696969696972,0.0
Legacy,1.8181818181818181,0.0
Legacy,1.9393939393939394,0.0
Legacy,2.0606060606060606,0.0
Legacy,2.181818181818182,0.0
Legacy,2.3030303030303028,0.0
Legacy,2.4242424242424243,0.0
Legacy,2.5454545454545454,0.0
Legacy,2.666666666666667,0.0
Legacy,2.7878787878787876,0.0
Legacy,2.909090909090909,0.0
Legacy,3.0303030303030303,0.0
Legacy,3.151515151515152,0.0
Legacy,3.272727272727273,0.0
Legacy,3.3939393939393945,0.0
Legacy,3.5151515151515147,0.0
Legacy,3.6363636363636362,0.0
Legacy,3.7575757575757573,0.0
Legacy,3.878787878787879,0.0
Legacy,4.0,0.0
Legacy,4.121212121212121,0.0
Legacy,4.242424242424243,0.0
Legacy,4.363636363636364,0.0
Legacy,4.484848484848484,0.0
Legacy,4.6060606060606055,0.0
Legacy,4.7272727272727275,0.0
Legacy,4.848484848484849,0.0
Legacy,4.96969696969697,0.0
Legacy,5.090909090909091,0.0
Legacy,5.212121212121213,0.0
Legacy,5.333333333333334,0.0
Legacy,5.454545454545454,0.0
Legacy,5.575757575757575,0.0
Legacy,5.696969696969697,0.0
Legacy,5.818181818181818,0.0
Legacy,5.9393939393939394,0.0
Legacy,6.0606060606060606,0.0
Legacy,6.181818181818182,0.0
Legacy,6.303030303030304,0.0
Legacy,6.424242424242424,0.0
Legacy,6.545454545454546,0.0
Legacy,6.666666666666667,0.0
Legacy,6.787878787878789,0.0
Legacy,6.909090909090909,0.0
Legacy,7.030303030303029,0.0
Legacy,7.151515151515151,0.0
Legacy,7.2727272727272725,0.0
Legacy,7.3939393939393945,0.0
Legacy,7.515151515151515,0.0
Legacy,7.636363636363637,0.0
Legacy,7.757575757575758,0.0
Legacy,7.878787878787878,0.0
Legacy,8.0,0.0
Legacy,8.121212121212121,0.0
Legacy,8.242424242424242,0.0
