algorithm,percentile of pool members,selection probability
Legacy,0.0,0.0
Legacy,0.41841004184100417,0.0
Legacy,0.8368200836820083,0.0
Legacy,1.2552301255230125,0.0001
Legacy,1.6736401673640167,0.0002
Legacy,2.092050209205021,0.0002
Legacy,2.510460251046025,0.0002
Legacy,2.928870292887029,0.0002
Legacy,3.3472803347280333,0.0002
Legacy,3.765690376569038,0.0002
Legacy,4.184100418410042,0.0003
Legacy,4.602510460251046,0.0004
Legacy,5.02092050209205,0.0004
Legacy,5.439330543933055,0.0004
Legacy,5.857740585774058,0.0006
Legacy,6.2761506276150625,0.0006
Legacy,6.694560669456067,0.0007
Legacy,7.112970711297072,0.0007
Legacy,7.531380753138076,0.0008
Legacy,7.949790794979079,0.0008
Legacy,8.368200836820083,0.0008
Legacy,8.786610878661087,0.0008
Legacy,9.205020920502092,0.0009
Legacy,9.623430962343097,0.0009
Legacy,10.0418410041841,0.0009
Legacy,10.460251046025103,0.001
Legacy,10.87866108786611,0.0013
Legacy,11.297071129707113,0.0018
Legacy,11.715481171548117,0.0019
Legacy,12.133891213389122,0.0021
Legacy,12.552301255230125,0.0027
Legacy,12.97071129707113,0.0027
Legacy,13.389121338912133,0.0028
Legacy,13.807531380753138,0.003
Legacy,14.225941422594143,0.003
Legacy,14.644351464435147,0.0031
Legacy,15.062761506276152,0.0032
Legacy,15.481171548117153,0.0036
Legacy,15.899581589958158,0.0036
Legacy,16.317991631799163,0.0037
Legacy,16.736401673640167,0.0039
Legacy,17.154811715481173,0.0039
Legacy,17.573221757322173,0.004
Legacy,17.99163179916318,0.0041
Legacy,18.410041841004183,0.0041
Legacy,18.828451882845187,0.0042
Legacy,19.246861924686193,0.0043
Legacy,19.665271966527197,0.0048
Legacy,20.0836820083682,0.0048
Legacy,20.502092050209207,0.0052
Legacy,20.920502092050206,0.0056
Legacy,21.338912133891213,0.0065
Legacy,21.75732217573222,0.0066
Legacy,22.17573221757322,0.0069
Legacy,22.594142259414227,0.007
Legacy,23.01255230125523,0.007
Legacy,23.430962343096233,0.007
Legacy,23.84937238493724,0.0072
Legacy,24.267782426778243,0.0073
Legacy,24.686192468619247,0.0074
Legacy,25.10460251046025,0.0074
Legacy,25.523012552301257,0.0075
Legacy,25.94142259414226,0.0075
Legacy,26.359832635983267,0.0079
Legacy,26.778242677824267,0.0093
Legacy,27.19665271966527,0.0096
Legacy,27.615062761506277,0.0098
Legacy,28.03347280334728,0.0099
Legacy,28.451882845188287,0.0101
Legacy,28.870292887029287,0.0104
Legacy,29.288702928870293,0.0104
Legacy,29.707112970711297,0.0105
Legacy,30.125523012552303,0.0108
Legacy,30.543933054393307,0.0109
Legacy,30.962343096234306,0.011
Legacy,31.380753138075313,0.011
Legacy,31.799163179916317,0.0119
Legacy,32.21757322175732,0.0128
Legacy,32.63598326359833,0.0133
Legacy,33.054393305439326,0.0138
Legacy,33.47280334728033,0.015
Legacy,33.89121338912134,0.0154
Legacy,34.30962343096235,0.0157
