algorithm,percentile of pool members,selection probability
Legacy,0.0,0.0179
Legacy,0.29239766081871343,0.0208
Legacy,0.5847953216374269,0.0239
Legacy,0.8771929824561403,0.0332
Legacy,1.1695906432748537,0.0781
Legacy,1.461988304093567,0.0798
Legacy,1.7543859649122806,0.081
Legacy,2.046783625730994,0.0821
Legacy,2.3391812865497075,0.0839
Legacy,2.631578947368421,0.0857
Legacy,2.923976608187134,0.086
Legacy,3.216374269005848,0.0928
Legacy,3.508771929824561,0.0945
Legacy,3.8011695906432745,0.1281
Legacy,4.093567251461988,0.1294
Legacy,4.385964912280701,0.1307
Legacy,4.678362573099415,0.1311
Legacy,4.970760233918129,0.1327
Legacy,5.263157894736842,0.133
Legacy,5.555555555555555,0.133
Legacy,5.847953216374268,0.1339
Legacy,6.140350877192982,0.1344
Legacy,6.432748538011696,0.1348
Legacy,6.725146198830409,0.1369
Legacy,7.017543859649122,0.1378
Legacy,7.309941520467836,0.14
Legacy,7.602339181286549,0.1419
Legacy,7.894736842105263,0.1433
Legacy,8.187134502923977,0.1474
Legacy,8.47953216374269,0.1485
Legacy,8.771929824561402,0.1488
Legacy,9.064327485380117,0.1532
Legacy,9.35672514619883,0.1824
Legacy,9.649122807017543,0.1896
Legacy,9.941520467836257,0.1931
Legacy,10.23391812865497,0.1934
Legacy,10.526315789473683,0.1941
Legacy,10.818713450292398,0.1946
Legacy,11.11111111111111,0.1952
Legacy,11.403508771929824,0.1954
Legacy,11.695906432748536,0.1955
Legacy,11.988304093567251,0.1956
Legacy,12.280701754385964,0.1957
Legacy,12.573099415204677,0.1965
Legacy,12.865497076023392,0.1971
Legacy,13.157894736842104,0.1971
Legacy,13.450292397660817,0.1973
Legacy,13.742690058479532,0.1976
Legacy,14.035087719298245,0.1978
Legacy,14.327485380116958,0.1989
Legacy,14.619883040935672,0.1997
Legacy,14.912280701754385,0.1997
Legacy,15.204678362573098,0.1998
Legacy,15.497076023391813,0.1998
Legacy,15.789473684210526,0.1999
Legacy,16.08187134502924,0.2003
Legacy,16.374269005847953,0.2004
Legacy,16.666666666666664,0.2004
Legacy,16.95906432748538,0.2012
Legacy,17.251461988304094,0.2017
Legacy,17.543859649122805,0.2018
Legacy,17.83625730994152,0.2025
Legacy,18.128654970760234,0.2026
Legacy,18.421052631578945,0.203
Legacy,18.71345029239766,0.2037
Legacy,19.005847953216374,0.2038
Legacy,19.298245614035086,0.2047
Legacy,19.5906432748538,0.2049
Legacy,19.883040935672515,0.2053
Legacy,20.175438596491226,0.2063
Legacy,20.46783625730994,0.2072
Legacy,20.760233918128655,0.209
Legacy,21.052631578947366,0.2092
Legacy,21.34502923976608,0.2105
Legacy,21.637426900584796,0.2108
Legacy,21.929824561403507,0.212
Legacy,22.22222222222222,0.2143
Legacy,22.514619883040936,0.2167
Legacy,22.807017543859647,0.2177
Legacy,23.099415204678362,0.245
Legacy,23.391812865497073,0.2453
Legacy,23.684210526315788,0.2474
Legacy,23.976608187134502,0.2512
Legacy,24.269005847953213,0.2528
Legacy,24.561403508771928,0.255
Legacy,24.853801169590643,0.256
Legacy,25.146198830409354,0.2568
Legacy,25.438596491228072,0.2571
Legacy,25.730994152046783,0.2574
Legacy,26.023391812865498,0.2589
Legacy,26.31578947368421,0.2598
Legacy,26.608187134502927,0.261
Legacy,26.900584795321635,0.2613
Legacy,27.192982456140353,0.2635
Legacy,27.485380116959064,0.2655
Legacy,27.77777777777778,0.2669
Legacy,28.07017543859649,0.2783
Legacy,28.362573099415204,0.2793
Legacy,28.654970760233915,0.2821
Legacy,28.947368421052634,0.2861
Legacy,29.239766081871345,0.2872
Legacy,29.53216374269006,0.2877
Legacy,29.82456140350877,0.2905
Legacy,30.116959064327485,0.291
Legacy,30.409356725146196,0.2922
Legacy,30.701754385964914,0.2962
Legacy,30.994152046783626,0.2976
Legacy,31.28654970760234,0.2976
Legacy,31.57894736842105,0.3075
Legacy,31.871345029239766,0.3166
Legacy,32.16374269005848,0.3175
Legacy,32.45614035087719,0.3208
Legacy,32.748538011695906,0.3208
Legacy,33.04093567251462,0.3221
Legacy,33.33333333333333,0.3234
Legacy,33.62573099415205,0.3269
Legacy,33.91812865497076,0.3304
Legacy,34.21052631578947,0.3316
Legacy,34.50292397660819,0.3316
Legacy,34.7953216374269,0.3333
Legacy,35.08771929824561,0.3335
Legacy,35.38011695906433,0.3348
Legacy,35.67251461988304,0.3363
Legacy,35.96491228070175,0.3408
Legacy,36.25730994152047,0.3447
Legacy,36.54970760233918,0.3631
Legacy,36.84210526315789,0.3738
Legacy,37.13450292397661,0.386
Legacy,37.42690058479532,0.396
Legacy,37.719298245614034,0.397
Legacy,38.01169590643275,0.3977
Legacy,38.30409356725146,0.3996
Legacy,38.59649122807017,0.401
Legacy,38.88888888888889,0.4056
Legacy,39.1812865497076,0.4058
Legacy,39.473684210526315,0.4059
Legacy,39.76608187134503,0.406
Legacy,40.058479532163744,0.407
Legacy,40.35087719298245,0.4084
Legacy,40.643274853801174,0.4086
Legacy,40.93567251461988,0.4089
Legacy,41.228070175438596,0.409
Legacy,41.52046783625731,0.4095
Legacy,41.812865497076025,0.4111
Legacy,42.10526315789473,0.4115
Legacy,42.39766081871345,0.412
Legacy,42.69005847953216,0.4135
Legacy,42.98245614035088,0.4138
Legacy,43.27485380116959,0.4156
Legacy,43.567251461988306,0.4165
Legacy,43.859649122807014,0.418
Legacy,44.15204678362573,0.419
Legacy,44.44444444444444,0.4223
Legacy,44.73684210526316,0.4353
Legacy,45.02923976608187,0.4355
Legacy,45.32163742690059,0.4379
Legacy,45.614035087719294,0.4388
Legacy,45.90643274853801,0.4419
Legacy,46.198830409356724,0.4433
Legacy,46.49122807017544,0.4461
Legacy,46.783625730994146,0.4462
Legacy,47.07602339181287,0.4468
Legacy,47.368421052631575,0.4468
Legacy,47.66081871345029,0.4471
Legacy,47.953216374269005,0.4487
Legacy,48.24561403508772,0.4492
Legacy,48.53801169590643,0.4493
Legacy,48.83040935672515,0.4495
Legacy,49.122807017543856,0.4505
Legacy,49.41520467836257,0.451
Legacy,49.707602339181285,0.4516
Legacy,50.0,0.4529
Legacy,50.29239766081871,0.4537
Legacy,50.58479532163743,0.4539
Legacy,50.877192982456144,0.4543
Legacy,51.16959064327485,0.4544
Legacy,51.461988304093566,0.4553
Legacy,51.75438596491229,0.4567
Legacy,52.046783625730995,0.4571
Legacy,52.33918128654971,0.4614
Legacy,52.63157894736842,0.4775
Legacy,52.92397660818714,0.4909
Legacy,53.216374269005854,0.4984
Legacy,53.50877192982456,0.5034
Legacy,53.80116959064327,0.5055
Legacy,54.09356725146199,0.5095
Legacy,54.385964912280706,0.5268
Legacy,54.67836257309941,0.5312
Legacy,54.97076023391813,0.5354
Legacy,55.26315789473685,0.5482
Legacy,55.55555555555556,0.5525
Legacy,55.84795321637427,0.5589
Legacy,56.14035087719298,0.5629
Legacy,56.4327485380117,0.5693
Legacy,56.72514619883041,0.5836
Legacy,57.01754385964912,0.5836
Legacy,57.30994152046783,0.5842
Legacy,57.60233918128655,0.5909
Legacy,57.89473684210527,0.591
Legacy,58.187134502923975,0.5927
Legacy,58.47953216374269,0.5939
Legacy,58.77192982456141,0.5946
Legacy,59.06432748538012,0.5977
Legacy,59.356725146198826,0.5978
Legacy,59.64912280701754,0.5982
Legacy,59.94152046783626,0.5984
Legacy,60.23391812865497,0.599
Legacy,60.526315789473685,0.5991
Legacy,60.81871345029239,0.5995
Legacy,61.111111111111114,0.5999
Legacy,61.40350877192983,0.6008
Legacy,61.69590643274854,0.6017
Legacy,61.98830409356725,0.6031
Legacy,62.28070175438597,0.6035
Legacy,62.57309941520468,0.6048
Legacy,62.86549707602339,0.6054
Legacy,63.1578947368421,0.607
Legacy,63.450292397660824,0.6083
Legacy,63.74269005847953,0.6089
Legacy,64.03508771929825,0.609
Legacy,64.32748538011695,0.6114
Legacy,64.61988304093568,0.6119
Legacy,64.91228070175438,0.612
Legacy,65.2046783625731,0.612
Legacy,65.49707602339181,0.6148
Legacy,65.78947368421053,0.6151
Legacy,66.08187134502924,0.623
Legacy,66.37426900584795,0.6345
Legacy,66.66666666666666,0.6375
Legacy,66.95906432748538,0.6403
Legacy,67.2514619883041,0.6419
Legacy,67.54385964912281,0.6468
Legacy,67.83625730994152,0.6483
Legacy,68.12865497076024,0.6623
Legacy,68.42105263157895,0.6681
Legacy,68.71345029239765,0.6754
Legacy,69.00584795321637,0.6781
Legacy,69.2982456140351,0.6805
Legacy,69.5906432748538,0.6863
Legacy,69.88304093567251,0.6898
Legacy,70.17543859649122,0.6927
Legacy,70.46783625730994,0.695
