algorithm,percentile of pool members,selection probability
Legacy,0.0,0.0
Legacy,0.3115264797507788,0.0001
Legacy,0.6230529595015576,0.0001
Legacy,0.9345794392523363,0.0002
Legacy,1.2461059190031152,0.0002
Legacy,1.557632398753894,0.0003
Legacy,1.8691588785046727,0.0004
Legacy,2.1806853582554515,0.0005
Legacy,2.4922118380062304,0.0005
Legacy,2.803738317757009,0.0006
Legacy,3.115264797507788,0.0006
Legacy,3.4267912772585665,0.001
Legacy,3.7383177570093453,0.001
Legacy,4.049844236760125,0.001
Legacy,4.361370716510903,0.001
Legacy,4.672897196261682,0.0011
Legacy,4.984423676012461,0.0012
Legacy,5.29595015576324,0.0012
Legacy,5.607476635514018,0.0014
Legacy,5.919003115264798,0.0015
Legacy,6.230529595015576,0.0019
Legacy,6.5420560747663545,0.002
Legacy,6.853582554517133,0.002
Legacy,7.165109034267912,0.002
Legacy,7.476635514018691,0.0023
Legacy,7.78816199376947,0.0024
Legacy,8.09968847352025,0.0025
Legacy,8.411214953271028,0.0028
Legacy,8.722741433021806,0.0035
Legacy,9.034267912772584,0.0035
Legacy,9.345794392523365,0.0044
Legacy,9.657320872274143,0.0045
Legacy,9.968847352024921,0.0046
Legacy,10.2803738317757,0.0047
Legacy,10.59190031152648,0.0049
Legacy,10.903426791277258,0.0053
Legacy,11.214953271028037,0.0054
Legacy,11.526479750778815,0.0057
Legacy,11.838006230529595,0.0058
Legacy,12.149532710280374,0.0058
Legacy,12.461059190031152,0.0059
Legacy,12.77258566978193,0.0067
Legacy,13.084112149532709,0.0075
Legacy,13.395638629283487,0.0076
Legacy,13.707165109034266,0.0077
Legacy,14.018691588785046,0.0078
Legacy,14.330218068535824,0.008
Legacy,14.641744548286603,0.008
Legacy,14.953271028037381,0.0081
Legacy,15.264797507788161,0.0084
Legacy,15.57632398753894,0.0086
Legacy,15.887850467289718,0.0094
Legacy,16.1993769470405,0.0098
Legacy,16.510903426791277,0.0098
Legacy,16.822429906542055,0.0099
Legacy,17.133956386292834,0.0101
Legacy,17.445482866043612,0.0112
Legacy,17.75700934579439,0.012
Legacy,18.06853582554517,0.0121
Legacy,18.38006230529595,0.0121
Legacy,18.69158878504673,0.0121
Legacy,19.003115264797508,0.0128
Legacy,19.314641744548286,0.0128
Legacy,19.626168224299064,0.0129
Legacy,19.937694704049843,0.0134
Legacy,20.24922118380062,0.0136
Legacy,20.5607476635514,0.0136
Legacy,20.87227414330218,0.0136
Legacy,21.18380062305296,0.0138
Legacy,21.49532710280374,0.014
Legacy,21.806853582554517,0.0142
Legacy,22.118380062305295,0.0145
Legacy,22.429906542056074,0.0147
Legacy,22.741433021806852,0.0152
Legacy,23.05295950155763,0.0153
Legacy,23.364485981308412,0.0159
Legacy,23.67601246105919,0.016
Legacy,23.98753894080997,0.016
Legacy,24.299065420560748,0.016
Legacy,24.610591900311526,0.0163
Legacy,24.922118380062305,0.0166
Legacy,25.233644859813083,0.0167
Legacy,25.54517133956386,0.0167
Legacy,25.85669781931464,0.0171
Legacy,26.168224299065418,0.0173
Legacy,26.479750778816197,0.0174
Legacy,26.791277258566975,0.0176
Legacy,27.102803738317753,0.0177
Legacy,27.41433021806853,0.0177
Legacy,27.725856697819314,0.0177
Legacy,28.037383177570092,0.0183
Legacy,28.34890965732087,0.0185
Legacy,28.66043613707165,0.0188
Legacy,28.971962616822427,0.0188
Legacy,29.283489096573206,0.0193
Legacy,29.595015576323984,0.0193
Legacy,29.906542056074763,0.0194
Legacy,30.218068535825545,0.0196
Legacy,30.529595015576323,0.0201
Legacy,30.8411214953271,0.0202
Legacy,31.15264797507788,0.0202
Legacy,31.464174454828658,0.0208
Legacy,31.775700934579437,0.0209
Legacy,32.087227414330215,0.0213
Legacy,32.398753894081,0.0218
Legacy,32.71028037383177,0.0222
Legacy,33.021806853582554,0.0227
Legacy,33.33333333333333,0.0229
Legacy,33.64485981308411,0.0231
