algorithm,percentile of pool members,selection probability
Legacy,0.0,0.0022
Legacy,0.3205128205128205,0.0024
Legacy,0.641025641025641,0.0026
Legacy,0.9615384615384616,0.0026
Legacy,1.282051282051282,0.0027
Legacy,1.6025641025641024,0.0032
Legacy,1.9230769230769231,0.0034
Legacy,2.2435897435897436,0.0036
Legacy,2.564102564102564,0.0038
Legacy,2.8846153846153846,0.0048
Legacy,3.205128205128205,0.0052
Legacy,3.5256410256410255,0.007
Legacy,3.8461538461538463,0.0077
Legacy,4.166666666666666,0.008
Legacy,4.487179487179487,0.0081
Legacy,4.807692307692308,0.0082
Legacy,5.128205128205128,0.0082
Legacy,5.448717948717949,0.0085
Legacy,5.769230769230769,0.0088
Legacy,6.089743589743589,0.0089
Legacy,6.41025641025641,0.0091
Legacy,6.730769230769231,0.0092
Legacy,7.051282051282051,0.0093
Legacy,7.371794871794872,0.0097
Legacy,7.6923076923076925,0.0101
Legacy,8.012820512820513,0.0105
Legacy,8.333333333333332,0.0111
Legacy,8.653846153846153,0.0112
Legacy,8.974358974358974,0.0112
Legacy,9.294871794871796,0.0118
Legacy,9.615384615384617,0.0122
Legacy,9.935897435897436,0.0123
Legacy,10.256410256410255,0.0132
Legacy,10.576923076923077,0.0132
Legacy,10.897435897435898,0.0134
Legacy,11.217948717948719,0.0137
Legacy,11.538461538461538,0.0138
Legacy,11.858974358974358,0.0149
Legacy,12.179487179487179,0.0149
Legacy,12.5,0.0152
Legacy,12.82051282051282,0.0157
Legacy,13.141025641025642,0.0166
Legacy,13.461538461538462,0.0168
Legacy,13.782051282051283,0.0197
Legacy,14.102564102564102,0.0207
Legacy,14.423076923076922,0.0208
Legacy,14.743589743589745,0.0212
Legacy,15.064102564102564,0.0214
Legacy,15.384615384615385,0.0218
Legacy,15.705128205128204,0.0218
Legacy,16.025641025641026,0.022
Legacy,16.346153846153847,0.022
Legacy,16.666666666666664,0.0221
Legacy,16.98717948717949,0.0221
Legacy,17.307692307692307,0.0223
Legacy,17.628205128205128,0.0223
Legacy,17.94871794871795,0.0224
Legacy,18.269230769230766,0.0226
Legacy,18.58974358974359,0.0228
Legacy,18.91025641025641,0.0228
Legacy,19.230769230769234,0.0232
Legacy,19.55128205128205,0.0233
Legacy,19.871794871794872,0.0235
Legacy,20.192307692307693,0.0241
Legacy,20.51282051282051,0.0252
Legacy,20.833333333333336,0.0267
Legacy,21.153846153846153,0.0304
Legacy,21.474358974358974,0.0308
Legacy,21.794871794871796,0.0314
Legacy,22.115384615384613,0.0323
Legacy,22.435897435897438,0.0324
Legacy,22.756410256410255,0.0338
Legacy,23.076923076923077,0.034
Legacy,23.397435897435898,0.0343
Legacy,23.717948717948715,0.0353
Legacy,24.03846153846154,0.0353
Legacy,24.358974358974358,0.0356
Legacy,24.679487179487182,0.0364
Legacy,25.0,0.0372
Legacy,25.320512820512818,0.0372
Legacy,25.64102564102564,0.0373
Legacy,25.961538461538463,0.0374
Legacy,26.282051282051285,0.0376
Legacy,26.602564102564102,0.0396
Legacy,26.923076923076923,0.0397
Legacy,27.24358974358974,0.0404
Legacy,27.564102564102566,0.0406
Legacy,27.884615384615387,0.0408
Legacy,28.205128205128204,0.0411
Legacy,28.525641025641026,0.0412
Legacy,28.846153846153843,0.0418
Legacy,29.166666666666668,0.0421
Legacy,29.48717948717949,0.0424
Legacy,29.807692307692307,0.0427
Legacy,30.128205128205128,0.0428
Legacy,30.448717948717945,0.0432
Legacy,30.76923076923077,0.0432
Legacy,31.08974358974359,0.0434
Legacy,31.41025641025641,0.0437
Legacy,31.73076923076923,0.044
Legacy,32.05128205128205,0.0446
Legacy,32.371794871794876,0.0448
Legacy,32.69230769230769,0.045
Legacy,33.01282051282051,0.0452
Legacy,33.33333333333333,0.0453
Legacy,33.65384615384615,0.0456
Legacy,33.97435897435898,0.0459
Legacy,34.294871794871796,0.0463
Legacy,34.61538461538461,0.0464
Legacy,34.93589743589743,0.0471
Legacy,35.256410256410255,0.0472
Legacy,35.57692307692308,0.0476
Legacy,35.8974358974359,0.0479
Legacy,36.217948717948715,0.0483
Legacy,36.53846153846153,0.0488
