algorithm,percentile of pool members,selection probability
Legacy,0.0,0.0004
Legacy,0.4,0.0004
Legacy,0.8,0.0004
Legacy,1.2,0.0007
Legacy,1.6,0.0007
Legacy,2.0,0.0007
Legacy,2.4,0.0008
Legacy,2.8000000000000003,0.001
Legacy,3.2,0.0025
Legacy,3.5999999999999996,0.0025
Legacy,4.0,0.0026
Legacy,4.3999999999999995,0.003
Legacy,4.8,0.003
Legacy,5.2,0.0031
Legacy,5.6000000000000005,0.0031
Legacy,6.0,0.0032
Legacy,6.4,0.0032
Legacy,6.800000000000001,0.0033
Legacy,7.199999999999999,0.0034
Legacy,7.6,0.0034
Legacy,8.0,0.0034
Legacy,8.4,0.0035
Legacy,8.799999999999999,0.0036
Legacy,9.2,0.0037
Legacy,9.6,0.0037
Legacy,10.0,0.0037
Legacy,10.4,0.0038
Legacy,10.8,0.0038
Legacy,11.200000000000001,0.0039
Legacy,11.600000000000001,0.0039
Legacy,12.0,0.0041
Legacy,12.4,0.0041
Legacy,12.8,0.0043
Legacy,13.200000000000001,0.0044
Legacy,13.600000000000001,0.0044
Legacy,14.000000000000002,0.0045
Legacy,14.399999999999999,0.0053
Legacy,14.799999999999999,0.0067
Legacy,15.2,0.0071
Legacy,15.6,0.0074
Legacy,16.0,0.008
Legacy,16.400000000000002,0.0099
Legacy,16.8,0.0102
Legacy,17.2,0.0121
Legacy,17.599999999999998,0.0132
Legacy,18.0,0.0139
Legacy,18.4,0.0139
Legacy,18.8,0.0142
Legacy,19.2,0.0142
Legacy,19.6,0.0144
Legacy,20.0,0.0145
Legacy,20.4,0.0145
Legacy,20.8,0.0146
Legacy,21.2,0.0146
Legacy,21.6,0.0147
Legacy,22.0,0.0148
Legacy,22.400000000000002,0.0148
Legacy,22.8,0.0148
Legacy,23.200000000000003,0.0149
Legacy,23.599999999999998,0.0152
Legacy,24.0,0.0153
Legacy,24.4,0.0154
Legacy,24.8,0.0154
Legacy,25.2,0.0155
Legacy,25.6,0.0155
Legacy,26.0,0.0157
Legacy,26.400000000000002,0.016
Legacy,26.8,0.0163
Legacy,27.200000000000003,0.0165
Legacy,27.6,0.0167
Legacy,28.000000000000004,0.0169
Legacy,28.4,0.0171
Legacy,28.799999999999997,0.0178
Legacy,29.2,0.0182
Legacy,29.599999999999998,0.0217
Legacy,30.0,0.0225
Legacy,30.4,0.0225
Legacy,30.8,0.0233
Legacy,31.2,0.0233
Legacy,31.6,0.0234
Legacy,32.0,0.0234
Legacy,32.4,0.024
Legacy,32.800000000000004,0.0243
Legacy,33.2,0.0248
Legacy,33.6,0.0254
Legacy,34.0,0.0257
Legacy,34.4,0.0259
Legacy,34.8,0.0264
Legacy,35.199999999999996,0.027
Legacy,35.6,0.0275
Legacy,36.0,0.0277
Legacy,36.4,0.0286
Legacy,36.8,0.0293
Legacy,37.2,0.0293
Legacy,37.6,0.0299
Legacy,38.0,0.0305
Legacy,38.4,0.0315
Legacy,38.800000000000004,0.0316
Legacy,39.2,0.0317
Legacy,39.6,0.0318
Legacy,40.0,0.0323
Legacy,40.400000000000006,0.0341
Legacy,40.8,0.0354
Legacy,41.199999999999996,0.0361
Legacy,41.6,0.0366
Legacy,42.0,0.037
Legacy,42.4,0.0372
Legacy,42.8,0.0382
Legacy,43.2,0.0389
Legacy,43.6,0.0391
Legacy,44.0,0.04
Legacy,44.4,0.04
Legacy,44.800000000000004,0.0403
Legacy,45.2,0.0403
Legacy,45.6,0.0412
Legacy,46.0,0.0413
Legacy,46.400000000000006,0.0417
Legacy,46.800000000000004,0.042
Legacy,47.199999999999996,0.0425
Legacy,47.599999999999994,0.0425
Legacy,48.0,0.0425
Legacy,48.4,0.0429
Legacy,48.8,0.0462
Legacy,49.2,0.0463
Legacy,49.6,0.0472
Legacy,50.0,0.0477
Legacy,50.4,0.0482
Legacy,50.8,0.0484
Legacy,51.2,0.0486
Legacy,51.6,0.0502
Legacy,52.0,0.0505
Legacy,52.400000000000006,0.0513
Legacy,52.800000000000004,0.0514
Legacy,53.2,0.0515
Legacy,53.6,0.0522
Legacy,54.0,0.0523
Legacy,54.400000000000006,0.0531
Legacy,54.800000000000004,0.0535
Legacy,55.2,0.0538
Legacy,55.60000000000001,0.0539
Legacy,56.00000000000001,0.054
Legacy,56.39999999999999,0.054
Legacy,56.8,0.0542
Legacy,57.199999999999996,0.055
Legacy,57.599999999999994,0.0552
Legacy,57.99999999999999,0.0556
Legacy,58.4,0.0557
Legacy,58.8,0.0558
Legacy,59.199999999999996,0.0564
Legacy,59.599999999999994,0.057
Legacy,60.0,0.0577
Legacy,60.4,0.0582
Legacy,60.8,0.0587
Legacy,61.199999999999996,0.0594
Legacy,61.6,0.0597
Legacy,62.0,0.0598
Legacy,62.4,0.0599
Legacy,62.8,0.06
Legacy,63.2,0.06
Legacy,63.6,0.0601
Legacy,64.0,0.0603
Legacy,64.4,0.0613
Legacy,64.8,0.0613
Legacy,65.2,0.062
Legacy,65.60000000000001,0.0625
Legacy,66.0,0.063
Legacy,66.4,0.0639
Legacy,66.8,0.0639
Legacy,67.2,0.064
Legacy,67.60000000000001,0.0645
Legacy,68.0,0.0663
Legacy,68.4,0.0668
Legacy,68.8,0.0671
Legacy,69.19999999999999,0.0689
Legacy,69.6,0.0707
Legacy,70.0,0.0739
Legacy,70.39999999999999,0.0746
Legacy,70.8,0.0755
Legacy,71.2,0.0764
Legacy,71.6,0.077
Legacy,72.0,0.077
Legacy,72.39999999999999,0.078
Legacy,72.8,0.0838
Legacy,73.2,0.0865
Legacy,73.6,0.0867
Legacy,74.0,0.088
Legacy,74.4,0.0884
Legacy,74.8,0.0885
Legacy,75.2,0.0901
Legacy,75.6,0.0911
Legacy,76.0,0.0915
Legacy,76.4,0.0917
Legacy,76.8,0.0925
Legacy,77.2,0.0977
Legacy,77.60000000000001,0.0995
Legacy,78.0,0.1013
Legacy,78.4,0.1016
Legacy,78.8,0.1036
Legacy,79.2,0.1052
Legacy,79.60000000000001,0.1053
Legacy,80.0,0.112
Legacy,80.4,0.1121
Legacy,80.80000000000001,0.1121
Legacy,81.2,0.1123
Legacy,81.6,0.1136
Legacy,82.0,0.1139
Legacy,82.39999999999999,0.1223
Legacy,82.8,0.1233
Legacy,83.2,0.1245
Legacy,83.6,0.1344
Legacy,84.0,0.1348
Legacy,84.39999999999999,0.1369
Legacy,84.8,0.138
Legacy,85.2,0.1388
Legacy,85.6,0.1402
Legacy,86.0,0.1406
Legacy,86.4,0.1418
Legacy,86.8,0.1444
Legacy,87.2,0.146
Legacy,87.6,0.1635
Legacy,88.0,0.1639
Legacy,88.4,0.165
Legacy,88.8,0.1742
Legacy,89.2,0.18
Legacy,89.60000000000001,0.1802
Legacy,90.0,0.1997
Legacy,90.4,0.2045
Legacy,90.8,0.2057
Legacy,91.2,0.2393
Legacy,91.60000000000001,0.2506
Legacy,92.0,0.2688
Legacy,92.4,0.2695
Legacy,92.80000000000001,0.2722
Legacy,93.2,0.2889
Legacy,93.60000000000001,0.2896
Legacy,94.0,0.2923
Legacy,94.39999999999999,0.3056
Legacy,94.8,0.3091
Legacy,95.19999999999999,0.3092
Legacy,95.6,0.3137
Legacy,96.0,0.3187
Legacy,96.39999999999999,0.366
Legacy,96.8,0.3749
Legacy,97.2,0.3791
Legacy,97.6,0.3802
Legacy,98.0,0.3835
Legacy,98.4,0.4102
Legacy,98.8,0.4698
Legacy,99.2,1.0
Legacy,99.6,1.0
LexiMin,0.0,0.04011862729016502
LexiMin,0.4,0.04011873101539185
LexiMin,0.8,0.04011879883959967
LexiMin,1.2,0.04011880774680161
LexiMin,1.6,0.04011883119179435
LexiMin,2.0,0.04011887074741203
LexiMin,2.4,0.040118870747412036
LexiMin,2.8000000000000003,0.04011887074741214
LexiMin,3.2,0.04011887074741214
LexiMin,3.5999999999999996,0.04011887074741215
LexiMin,4.0,0.04011887074741217
LexiMin,4.3999999999999995,0.04011887074741217
LexiMin,4.8,0.04011887074741218
LexiMin,5.2,0.04011887074741219
LexiMin,5.6000000000000005,0.04011887074741219
LexiMin,6.0,0.040118870747412196
LexiMin,6.4,0.0401188707474122
