algorithm,percentile of pool members,selection probability
Legacy,0.0,0.0
Legacy,0.6211180124223602,0.0001
Legacy,1.2422360248447204,0.0002
Legacy,1.8633540372670807,0.0002
Legacy,2.484472049689441,0.0004
Legacy,3.1055900621118013,0.0004
Legacy,3.7267080745341614,0.0004
Legacy,4.3478260869565215,0.0005
Legacy,4.968944099378882,0.0008
Legacy,5.590062111801243,0.0009
Legacy,6.211180124223603,0.0012
Legacy,6.832298136645963,0.0014
Legacy,7.453416149068323,0.0025
Legacy,8.074534161490684,0.0026
Legacy,8.695652173913043,0.0027
Legacy,9.316770186335404,0.0033
Legacy,9.937888198757763,0.0034
Legacy,10.559006211180124,0.0057
Legacy,11.180124223602485,0.006
Legacy,11.801242236024844,0.0068
Legacy,12.422360248447205,0.0071
Legacy,13.043478260869565,0.0079
Legacy,13.664596273291925,0.0081
Legacy,14.285714285714285,0.0082
Legacy,14.906832298136646,0.0083
Legacy,15.527950310559005,0.0083
Legacy,16.149068322981368,0.0089
Legacy,16.77018633540373,0.0091
Legacy,17.391304347826086,0.0095
Legacy,18.012422360248447,0.0096
Legacy,18.633540372670808,0.0098
Legacy,19.25465838509317,0.0098
Legacy,19.875776397515526,0.0132
Legacy,20.496894409937887,0.0132
Legacy,21.11801242236025,0.0149
Legacy,21.73913043478261,0.0157
Legacy,22.36024844720497,0.026
Legacy,22.981366459627328,0.0264
Legacy,23.60248447204969,0.0274
Legacy,24.22360248447205,0.0281
Legacy,24.84472049689441,0.0282
Legacy,25.465838509316768,0.0285
Legacy,26.08695652173913,0.0299
Legacy,26.70807453416149,0.03
Legacy,27.32919254658385,0.0302
Legacy,27.95031055900621,0.0304
Legacy,28.57142857142857,0.0318
Legacy,29.19254658385093,0.0319
Legacy,29.81366459627329,0.0323
Legacy,30.434782608695656,0.0325
Legacy,31.05590062111801,0.0327
Legacy,31.67701863354037,0.0361
Legacy,32.298136645962735,0.0387
Legacy,32.91925465838509,0.0402
Legacy,33.54037267080746,0.0602
Legacy,34.161490683229815,0.0634
Legacy,34.78260869565217,0.0638
Legacy,35.40372670807454,0.0646
Legacy,36.024844720496894,0.0647
Legacy,36.64596273291926,0.0666
Legacy,37.267080745341616,0.067
Legacy,37.88819875776397,0.0679
Legacy,38.50931677018634,0.0685
Legacy,39.130434782608695,0.0797
Legacy,39.75155279503105,0.0837
Legacy,40.37267080745342,0.0934
Legacy,40.993788819875775,0.1034
Legacy,41.61490683229814,0.1043
Legacy,42.2360248447205,0.1075
Legacy,42.857142857142854,0.1184
Legacy,43.47826086956522,0.1224
Legacy,44.099378881987576,0.1362
Legacy,44.72049689440994,0.1374
Legacy,45.3416149068323,0.1397
Legacy,45.962732919254655,0.14
Legacy,46.58385093167702,0.141
Legacy,47.20496894409938,0.1423
Legacy,47.82608695652174,0.1433
Legacy,48.4472049689441,0.1516
Legacy,49.06832298136646,0.1693
Legacy,49.68944099378882,0.1763
Legacy,50.31055900621118,0.1924
Legacy,50.931677018633536,0.1975
Legacy,51.5527950310559,0.2021
Legacy,52.17391304347826,0.2132
Legacy,52.79503105590062,0.2269
Legacy,53.41614906832298,0.2275
Legacy,54.037267080745345,0.2318
Legacy,54.6583850931677,0.2345
Legacy,55.27950310559007,0.2374
Legacy,55.90062111801242,0.2401
Legacy,56.52173913043478,0.245
Legacy,57.14285714285714,0.2468
Legacy,57.7639751552795,0.2469
Legacy,58.38509316770186,0.2471
Legacy,59.006211180124225,0.2522
Legacy,59.62732919254658,0.2546
Legacy,60.24844720496895,0.2568
Legacy,60.86956521739131,0.2656
Legacy,61.49068322981367,0.2767
Legacy,62.11180124223602,0.2786
Legacy,62.732919254658384,0.2832
Legacy,63.35403726708074,0.3028
Legacy,63.975155279503106,0.303
Legacy,64.59627329192547,0.3116
Legacy,65.21739130434783,0.3133
Legacy,65.83850931677019,0.3165
Legacy,66.45962732919256,0.321
Legacy,67.08074534161491,0.3254
Legacy,67.70186335403726,0.3264
Legacy,68.32298136645963,0.338
Legacy,68.94409937888199,0.3487
Legacy,69.56521739130434,0.3492
Legacy,70.1863354037267,0.3514
Legacy,70.80745341614907,0.3635
Legacy,71.42857142857143,0.3637
Legacy,72.04968944099379,0.3639
Legacy,72.67080745341616,0.3646
Legacy,73.29192546583852,0.3745
Legacy,73.91304347826086,0.4415
Legacy,74.53416149068323,0.4758
Legacy,75.15527950310559,0.4775
Legacy,75.77639751552795,0.4944
Legacy,76.3975155279503,0.5017
Legacy,77.01863354037268,0.5127
Legacy,77.63975155279503,0.5152
Legacy,78.26086956521739,0.5258
Legacy,78.88198757763976,0.5308
Legacy,79.5031055900621,0.5361
Legacy,80.12422360248446,0.5452
Legacy,80.74534161490683,0.5621
Legacy,81.36645962732919,0.5695
Legacy,81.98757763975155,0.5767
Legacy,82.6086956521739,0.5825
Legacy,83.22981366459628,0.6064
Legacy,83.85093167701864,0.6219
Legacy,84.472049689441,0.6311
Legacy,85.09316770186336,0.669
Legacy,85.71428571428571,0.6965
Legacy,86.33540372670807,0.6969
Legacy,86.95652173913044,0.7104
Legacy,87.5776397515528,0.7114
Legacy,88.19875776397515,0.7124
Legacy,88.81987577639751,0.7141
Legacy,89.44099378881988,0.7279
Legacy,90.06211180124224,0.7299
Legacy,90.6832298136646,0.7375
Legacy,91.30434782608695,0.764
Legacy,91.92546583850931,0.7648
Legacy,92.54658385093167,0.7801
Legacy,93.16770186335404,0.8018
Legacy,93.7888198757764,0.8064
Legacy,94.40993788819875,0.8366
Legacy,95.03105590062113,1.0
Legacy,95.65217391304348,1.0
Legacy,96.27329192546584,1.0
Legacy,96.8944099378882,1.0
Legacy,97.51552795031056,1.0
Legacy,98.13664596273291,1.0
Legacy,98.75776397515527,1.0
Legacy,99.37888198757764,1.0
LexiMin,0.0,0.08593672286567222
LexiMin,0.6211180124223602,0.08593750611916766
LexiMin,1.2422360248447204,0.08593750611916771
LexiMin,1.8633540372670807,0.08593750611916774
LexiMin,2.484472049689441,0.08593750611916781
LexiMin,3.1055900621118013,0.08593750611916783
LexiMin,3.7267080745341614,0.08593750611916783
LexiMin,4.3478260869565215,0.08593750611916785
LexiMin,4.968944099378882,0.08593750611916787
LexiMin,5.590062111801243,0.08593750611916787
LexiMin,6.211180124223603,0.08593750611916788
LexiMin,6.832298136645963,0.08593750611916791
LexiMin,7.453416149068323,0.08593750611916791
LexiMin,8.074534161490684,0.08593750611916791
LexiMin,8.695652173913043,0.08593750611916792
LexiMin,9.316770186335404,0.08593750611916792
LexiMin,9.937888198757763,0.08593750611916794
LexiMin,10.559006211180124,0.08593750611916794
LexiMin,11.180124223602485,0.08593750611916794
LexiMin,11.801242236024844,0.08593750611916794
LexiMin,12.422360248447205,0.08593750611916794
LexiMin,13.043478260869565,0.08593750611916795
LexiMin,13.664596273291925,0.08593750611916796
LexiMin,14.285714285714285,0.08593750611916796
LexiMin,14.906832298136646,0.08593750611916796
LexiMin,15.527950310559005,0.08593750611916796
LexiMin,16.149068322981368,0.08593750611916796
LexiMin,16.77018633540373,0.08593750611916796
LexiMin,17.391304347826086,0.08593750611916798
LexiMin,18.012422360248447,0.08593750611916798
LexiMin,18.633540372670808,0.08593750611916798
LexiMin,19.25465838509317,0.08593750611916798
LexiMin,19.875776397515526,0.08593750611916798
LexiMin,20.496894409937887,0.08593750611916798
LexiMin,21.11801242236025,0.08593750611916798
LexiMin,21.73913043478261,0.08593750611916798
LexiMin,22.36024844720497,0.08593750611916798
LexiMin,22.981366459627328,0.08593750611916798
LexiMin,23.60248447204969,0.08593750611916798
LexiMin,24.22360248447205,0.08593750611916798
LexiMin,24.84472049689441,0.08593750611916798
LexiMin,25.465838509316768,0.08593750611916798
LexiMin,26.08695652173913,0.08593750611916799
LexiMin,26.70807453416149,0.08593750611916799
LexiMin,27.32919254658385,0.08593750611916799
LexiMin,27.95031055900621,0.08593750611916799
LexiMin,28.57142857142857,0.08593750611916799
LexiMin,29.19254658385093,0.08593750611916799
LexiMin,29.81366459627329,0.08593750611916799
LexiMin,30.434782608695656,0.08593750611916799
LexiMin,31.05590062111801,0.08593750611916799
LexiMin,31.67701863354037,0.08593750611916799
LexiMin,32.298136645962735,0.08593750611916799
LexiMin,32.91925465838509,0.08593750611916799
LexiMin,33.54037267080746,0.08593750611916799
LexiMin,34.161490683229815,0.08593750611916799
LexiMin,34.78260869565217,0.08593750611916799
LexiMin,35.40372670807454,0.08593750611916799
LexiMin,36.024844720496894,0.08593750611916799
LexiMin,36.64596273291926,0.08593750611916799
LexiMin,37.267080745341616,0.08593750611916799
LexiMin,37.88819875776397,0.085937506119168
LexiMin,38.50931677018634,0.085937506119168
LexiMin,39.130434782608695,0.085937506119168
LexiMin,39.75155279503105,0.085937506119168
LexiMin,40.37267080745342,0.085937506119168
LexiMin,40.993788819875775,0.085937506119168
LexiMin,41.61490683229814,0.085937506119168
LexiMin,42.2360248447205,0.085937506119168
LexiMin,42.857142857142854,0.085937506119168
LexiMin,43.47826086956522,0.085937506119168
LexiMin,44.099378881987576,0.085937506119168
LexiMin,44.72049689440994,0.085937506119168
LexiMin,45.3416149068323,0.085937506119168
LexiMin,45.962732919254655,0.08593750611916802
LexiMin,46.58385093167702,0.08593750611916802
LexiMin,47.20496894409938,0.08593750611916802
LexiMin,47.82608695652174,0.08593750611916803
LexiMin,48.4472049689441,0.08593750611916806
LexiMin,49.06832298136646,0.08593750611916806
LexiMin,49.68944099378882,0.08593750611916808
LexiMin,50.31055900621118,0.08593750611916808
LexiMin,50.931677018633536,0.08593750611916808
LexiMin,51.5527950310559,0.08593750611916809
LexiMin,52.17391304347826,0.08593750611916809
LexiMin,52.79503105590062,0.0859375061191681
LexiMin,53.41614906832298,0.0859375061191681
LexiMin,54.037267080745345,0.08593750611916812
LexiMin,54.6583850931677,0.08593750611916812
LexiMin,55.27950310559007,0.08593750611916814
LexiMin,55.90062111801242,0.08593750611916816
LexiMin,56.52173913043478,0.08593750611916816
LexiMin,57.14285714285714,0.08593750611916817
LexiMin,57.7639751552795,0.0859375061191682
LexiMin,58.38509316770186,0.08593750611916824
LexiMin,59.006211180124225,0.08593750611916824
LexiMin,59.62732919254658,0.08593750611916827
LexiMin,60.24844720496895,0.08593750611916834
LexiMin,60.86956521739131,0.09280897770076992
LexiMin,61.49068322981367,0.09280897770076998
LexiMin,62.11180124223602,0.09280897770077007
LexiMin,62.732919254658384,0.0973663745634402
LexiMin,63.35403726708074,0.11783661276259853
LexiMin,63.975155279503106,0.1283109548243148
LexiMin,64.59627329192547,0.12934419755626425
LexiMin,65.21739130434783,0.13847833663960538
LexiMin,65.83850931677019,0.150242884969409
LexiMin,66.45962732919256,0.1723075713758487
LexiMin,67.08074534161491,0.18652157595639776
LexiMin,67.70186335403726,0.1988858190275323
LexiMin,68.32298136645963,0.2358297230396239
LexiMin,68.94409937888199,0.23730516892260342
LexiMin,69.56521739130434,0.2651009856209009
LexiMin,70.1863354037267,0.28518246236490097
LexiMin,70.80745341614907,0.28518246236490113
LexiMin,71.42857142857143,0.2851824623649012
LexiMin,72.04968944099379,0.2851824623649012
LexiMin,72.67080745341616,0.28518246236490136
LexiMin,73.29192546583852,0.2851824623649015
LexiMin,73.91304347826086,0.3540348864044065
LexiMin,74.53416149068323,0.3540348864044066
LexiMin,75.15527950310559,0.3540348864044066
LexiMin,75.77639751552795,0.3540348864044066
LexiMin,76.3975155279503,0.3540348864044067
LexiMin,77.01863354037268,0.3540348864044067
LexiMin,77.63975155279503,0.3860471397638322
LexiMin,78.26086956521739,0.3860471397638323
LexiMin,78.88198757763976,0.38604713976383237
LexiMin,79.5031055900621,0.3860471397638324
LexiMin,80.12422360248446,0.39867405114048626
LexiMin,80.74534161490683,0.5754351037378728
LexiMin,81.36645962732919,0.5979106784507172
LexiMin,81.98757763975155,0.5988711306012391
LexiMin,82.6086956521739,0.6508479532205869
LexiMin,83.22981366459628,0.6836628164164723
LexiMin,83.85093167701864,0.6836628164164724
LexiMin,84.472049689441,0.7078342123213749
LexiMin,85.09316770186336,0.7143088631561646
LexiMin,85.71428571428571,0.7207226294536676
LexiMin,86.33540372670807,0.7581527235463492
LexiMin,86.95652173913044,0.8234335218601537
LexiMin,87.5776397515528,0.9821497202719914
LexiMin,88.19875776397515,0.9917522932373689
LexiMin,88.81987577639751,0.991752293237369
LexiMin,89.44099378881988,0.9917522932373691
LexiMin,90.06211180124224,0.9917522932373691
LexiMin,90.6832298136646,1.0000000000000007
LexiMin,91.30434782608695,1.0000000000000007
LexiMin,91.92546583850931,1.0000000000000007
LexiMin,92.54658385093167,1.0000000000000007
LexiMin,93.16770186335404,1.0000000000000007
LexiMin,93.7888198757764,1.0000000000000007
LexiMin,94.40993788819875,1.0000000000000007
LexiMin,95.03105590062113,1.0000000000000007
LexiMin,95.65217391304348,1.0000000000000007
LexiMin,96.27329192546584,1.0000000000000007
LexiMin,96.8944099378882,1.0000000000000007
LexiMin,97.51552795031056,1.0000000000000007
LexiMin,98.13664596273291,1.0000000000000007
LexiMin,98.75776397515527,1.0000000000000007
LexiMin,99.37888198757764,1.0000000000000007
k/n,0.0,0.2732919254658385
k/n,0.6211180124223602,0.2732919254658385
k/n,1.2422360248447204,0.2732919254658385
k/n,1.8633540372670807,0.2732919254658385
k/n,2.484472049689441,0.2732919254658385
k/n,3.1055900621118013,0.2732919254658385
k/n,3.7267080745341614,0.2732919254658385
k/n,4.3478260869565215,0.2732919254658385
k/n,4.968944099378882,0.2732919254658385
k/n,5.590062111801243,0.2732919254658385
k/n,6.211180124223603,0.2732919254658385
k/n,6.832298136645963,0.2732919254658385
k/n,7.453416149068323,0.2732919254658385
k/n,8.074534161490684,0.2732919254658385
k/n,8.695652173913043,0.2732919254658385
k/n,9.316770186335404,0.2732919254658385
k/n,9.937888198757763,0.2732919254658385
k/n,10.559006211180124,0.2732919254658385
k/n,11.180124223602485,0.2732919254658385
k/n,11.801242236024844,0.2732919254658385
k/n,12.422360248447205,0.2732919254658385
k/n,13.043478260869565,0.2732919254658385
k/n,13.664596273291925,0.2732919254658385
k/n,14.285714285714285,0.2732919254658385
k/n,14.906832298136646,0.2732919254658385
k/n,15.527950310559005,0.2732919254658385
k/n,16.149068322981368,0.2732919254658385
k/n,16.77018633540373,0.2732919254658385
k/n,17.391304347826086,0.2732919254658385
k/n,18.012422360248447,0.2732919254658385
k/n,18.633540372670808,0.2732919254658385
k/n,19.25465838509317,0.2732919254658385
k/n,19.875776397515526,0.2732919254658385
k/n,20.496894409937887,0.2732919254658385
k/n,21.11801242236025,0.2732919254658385
k/n,21.73913043478261,0.2732919254658385
k/n,22.36024844720497,0.2732919254658385
k/n,22.981366459627328,0.2732919254658385
k/n,23.60248447204969,0.2732919254658385
k/n,24.22360248447205,0.2732919254658385
k/n,24.84472049689441,0.2732919254658385
k/n,25.465838509316768,0.2732919254658385
k/n,26.08695652173913,0.2732919254658385
k/n,26.70807453416149,0.2732919254658385
k/n,27.32919254658385,0.2732919254658385
k/n,27.95031055900621,0.2732919254658385
k/n,28.57142857142857,0.2732919254658385
k/n,29.19254658385093,0.2732919254658385
k/n,29.81366459627329,0.2732919254658385
k/n,30.434782608695656,0.2732919254658385
k/n,31.05590062111801,0.2732919254658385
k/n,31.67701863354037,0.2732919254658385
k/n,32.298136645962735,0.2732919254658385
k/n,32.91925465838509,0.2732919254658385
k/n,33.54037267080746,0.2732919254658385
k/n,34.161490683229815,0.2732919254658385
k/n,34.78260869565217,0.2732919254658385
