algorithm,percentile of pool members,selection probability
Legacy,0.0,0.0002
Legacy,0.24752475247524752,0.0003
Legacy,0.49504950495049505,0.0003
Legacy,0.7425742574257426,0.0004
Legacy,0.9900990099009901,0.0004
Legacy,1.2376237623762376,0.0004
Legacy,1.4851485148514851,0.0004
Legacy,1.7326732673267329,0.0004
Legacy,1.9801980198019802,0.0005
Legacy,2.2277227722772275,0.0006
Legacy,2.4752475247524752,0.0007
Legacy,2.722772277227723,0.0007
Legacy,2.9702970297029703,0.0007
Legacy,3.217821782178218,0.0008
Legacy,3.4653465346534658,0.0008
Legacy,3.7128712871287126,0.0008
Legacy,3.9603960396039604,0.0008
Legacy,4.207920792079208,0.0009
Legacy,4.455445544554455,0.0009
Legacy,4.702970297029703,0.0009
Legacy,4.9504950495049505,0.001
Legacy,5.198019801980198,0.001
Legacy,5.445544554455446,0.001
Legacy,5.693069306930694,0.001
Legacy,5.9405940594059405,0.0011
Legacy,6.188118811881188,0.0011
Legacy,6.435643564356436,0.0011
Legacy,6.683168316831684,0.0012
Legacy,6.9306930693069315,0.0012
Legacy,7.1782178217821775,0.0012
Legacy,7.425742574257425,0.0013
Legacy,7.673267326732673,0.0013
Legacy,7.920792079207921,0.0013
Legacy,8.16831683168317,0.0013
Legacy,8.415841584158416,0.0014
Legacy,8.663366336633663,0.0014
Legacy,8.91089108910891,0.0015
Legacy,9.158415841584159,0.0015
Legacy,9.405940594059405,0.0016
Legacy,9.653465346534654,0.0016
Legacy,9.900990099009901,0.0016
Legacy,10.14851485148515,0.0017
Legacy,10.396039603960396,0.0017
Legacy,10.643564356435643,0.0018
Legacy,10.891089108910892,0.0018
Legacy,11.138613861386139,0.0018
Legacy,11.386138613861387,0.0019
Legacy,11.633663366336634,0.0019
Legacy,11.881188118811881,0.0019
Legacy,12.128712871287128,0.0019
Legacy,12.376237623762377,0.002
Legacy,12.623762376237623,0.002
Legacy,12.871287128712872,0.002
Legacy,13.118811881188119,0.002
Legacy,13.366336633663368,0.0021
Legacy,13.613861386138614,0.0021
Legacy,13.861386138613863,0.0021
Legacy,14.108910891089108,0.0021
Legacy,14.356435643564355,0.0023
Legacy,14.603960396039604,0.0023
Legacy,14.85148514851485,0.0024
Legacy,15.099009900990099,0.0025
Legacy,15.346534653465346,0.0026
Legacy,15.594059405940595,0.0028
Legacy,15.841584158415841,0.0032
Legacy,16.08910891089109,0.0033
Legacy,16.33663366336634,0.0033
Legacy,16.584158415841586,0.0039
Legacy,16.831683168316832,0.0042
Legacy,17.07920792079208,0.0042
Legacy,17.326732673267326,0.0043
Legacy,17.574257425742573,0.0044
Legacy,17.82178217821782,0.0045
Legacy,18.06930693069307,0.0047
Legacy,18.316831683168317,0.0047
Legacy,18.564356435643564,0.0047
Legacy,18.81188118811881,0.005
Legacy,19.05940594059406,0.005
Legacy,19.306930693069308,0.0051
Legacy,19.554455445544555,0.0055
Legacy,19.801980198019802,0.0055
Legacy,20.049504950495052,0.0057
Legacy,20.2970297029703,0.0057
Legacy,20.544554455445542,0.0058
Legacy,20.792079207920793,0.0059
Legacy,21.03960396039604,0.0067
Legacy,21.287128712871286,0.0069
Legacy,21.534653465346533,0.007
Legacy,21.782178217821784,0.0072
Legacy,22.02970297029703,0.0073
Legacy,22.277227722772277,0.0076
Legacy,22.524752475247524,0.0079
Legacy,22.772277227722775,0.0079
Legacy,23.01980198019802,0.0081
Legacy,23.26732673267327,0.0081
Legacy,23.51485148514851,0.0084
Legacy,23.762376237623762,0.0084
Legacy,24.00990099009901,0.0094
Legacy,24.257425742574256,0.0095
Legacy,24.504950495049506,0.0099
