algorithm,percentile of pool members,selection probability
Legacy,0.0,0.0
Legacy,0.05790387955993051,0.0
Legacy,0.11580775911986102,0.0
Legacy,0.17371163867979156,0.0
Legacy,0.23161551823972204,0.0
Legacy,0.2895193977996526,0.0
Legacy,0.3474232773595831,0.0
Legacy,0.4053271569195136,0.0
Legacy,0.4632310364794441,0.0
Legacy,0.5211349160393747,0.0
Legacy,0.5790387955993052,0.0
Legacy,0.6369426751592357,0.0
Legacy,0.6948465547191662,0.0
Legacy,0.7527504342790967,0.0
Legacy,0.8106543138390272,0.0
Legacy,0.8685581933989578,0.0
Legacy,0.9264620729588882,0.0
Legacy,0.9843659525188188,0.0
Legacy,1.0422698320787493,0.0
Legacy,1.1001737116386796,0.0
Legacy,1.1580775911986103,0.0
Legacy,1.2159814707585408,0.0
Legacy,1.2738853503184715,0.0
Legacy,1.3317892298784018,0.0001
Legacy,1.3896931094383325,0.0001
Legacy,1.447596988998263,0.0001
Legacy,1.5055008685581934,0.0001
Legacy,1.563404748118124,0.0001
Legacy,1.6213086276780544,0.0001
Legacy,1.679212507237985,0.0002
Legacy,1.7371163867979156,0.0002
Legacy,1.795020266357846,0.0002
Legacy,1.8529241459177763,0.0002
Legacy,1.910828025477707,0.0003
Legacy,1.9687319050376375,0.0003
Legacy,2.026635784597568,0.0003
Legacy,2.0845396641574987,0.0003
Legacy,2.1424435437174294,0.0003
Legacy,2.200347423277359,0.0003
Legacy,2.25825130283729,0.0003
Legacy,2.3161551823972206,0.0003
Legacy,2.3740590619571513,0.0003
Legacy,2.4319629415170816,0.0004
Legacy,2.4898668210770123,0.0004
Legacy,2.547770700636943,0.0004
Legacy,2.605674580196873,0.0004
Legacy,2.6635784597568035,0.0004
Legacy,2.7214823393167342,0.0004
Legacy,2.779386218876665,0.0004
Legacy,2.837290098436595,0.0004
Legacy,2.895193977996526,0.0004
Legacy,2.9530978575564566,0.0004
Legacy,3.011001737116387,0.0004
Legacy,3.068905616676317,0.0005
Legacy,3.126809496236248,0.0005
Legacy,3.1847133757961785,0.0005
Legacy,3.242617255356109,0.0005
Legacy,3.3005211349160395,0.0005
Legacy,3.35842501447597,0.0005
Legacy,3.4163288940359005,0.0005
Legacy,3.474232773595831,0.0005
Legacy,3.532136653155762,0.0005
Legacy,3.590040532715692,0.0005
Legacy,3.6479444122756224,0.0006
Legacy,3.7058482918355526,0.0006
Legacy,3.7637521713954833,0.0006
Legacy,3.821656050955414,0.0006
Legacy,3.8795599305153443,0.0006
Legacy,3.937463810075275,0.0006
Legacy,3.9953676896352057,0.0006
Legacy,4.053271569195136,0.0006
Legacy,4.111175448755066,0.0006
Legacy,4.169079328314997,0.0006
Legacy,4.226983207874928,0.0006
Legacy,4.284887087434859,0.0007
Legacy,4.342790966994789,0.0007
